"","mouse","human"
"876","Apobec4","APOBEC4"
"877","Apobr","APOBR"
"878","Apoc1","APOC1"
"879","Apoc2","APOC2"
"880","Apoc3","APOC3"
"881","Apoc4","APOC4"
"882","Apod","APOD"
"883","Apoe","APOE"
"884","Apof","APOF"
"885","Apoh","APOH"
"886","Apol8","APOL2"
"887","Apol6","APOL6"
"888","Apold1","APOLD1"
"889","Apom","APOM"
"890","Apoo","APOO"
"891","Apool","APOOL"
"892","Apopt1","APOPT1"
"893","App","APP"
"894","Appbp2","APPBP2"
"895","Appl1","APPL1"
"896","Appl2","APPL2"
"897","Aprt","APRT"
"898","Aptx","APTX"
"899","Aqp1","AQP1"
"900","Aqp11","AQP11"
"901","Aqp12","AQP12A"
"902","Aqp12","AQP12B"
"903","Aqp2","AQP2"
"904","Aqp3","AQP3"
"905","Aqp4","AQP4"
"906","Aqp5","AQP5"
"907","Aqp6","AQP6"
"908","Aqp7","AQP7"
"909","Aqp8","AQP8"
"910","Aqp9","AQP9"
"911","Aqr","AQR"
"912","Ar","AR"
"913","Araf","ARAF"
"914","Arap1","ARAP1"
"915","Arap2","ARAP2"
"916","Arap3","ARAP3"
"917","Arc","ARC"
"918","Arcn1","ARCN1"
"919","Areg","AREG"
"920","Arel1","AREL1"
"921","Arf1","ARF1"
"922","Arf2","ARF2P"
"923","Arf3","ARF3"
"924","Arf4","ARF4"
"925","Arf5","ARF5"
"926","Arf6","ARF6"
"927","Arfgap1","ARFGAP1"
"928","Arfgap2","ARFGAP2"
"929","Arfgap3","ARFGAP3"
"930","Arfgef1","ARFGEF1"
"931","Arfgef2","ARFGEF2"
"932","Arfgef3","ARFGEF3"
"933","Arfip1","ARFIP1"
"934","Arfip2","ARFIP2"
"935","Arfrp1","ARFRP1"
"936","Arg1","ARG1"
"937","Arg2","ARG2"
"938","Arglu1","ARGLU1"
"939","Arhgap1","ARHGAP1"
"940","Arhgap10","ARHGAP10"
"941","Arhgap11a","ARHGAP11A"
"942","Arhgap12","ARHGAP12"
"943","Arhgap15","ARHGAP15"
"944","Arhgap17","ARHGAP17"
"945","Arhgap18","ARHGAP18"
"946","Arhgap19","ARHGAP19"
"947","Arhgap20","ARHGAP20"
"948","Arhgap21","ARHGAP21"
"949","Arhgap22","ARHGAP22"
"950","Arhgap23","ARHGAP23"
"951","Arhgap24","ARHGAP24"
"952","Arhgap25","ARHGAP25"
"953","Arhgap26","ARHGAP26"
"954","Arhgap27","ARHGAP27"
"955","Arhgap28","ARHGAP28"
"956","Arhgap29","ARHGAP29"
"957","Arhgap30","ARHGAP30"
"958","Arhgap31","ARHGAP31"
"959","Arhgap32","ARHGAP32"
"960","Arhgap33","ARHGAP33"
"961","Arhgap35","ARHGAP35"
"962","Arhgap36","ARHGAP36"
"963","Arhgap39","ARHGAP39"
"964","Arhgap4","ARHGAP4"
"965","Arhgap40","ARHGAP40"
"966","Arhgap42","ARHGAP42"
"967","Arhgap44","ARHGAP44"
"968","Arhgap45","ARHGAP45"
"969","Arhgap5","ARHGAP5"
"970","Arhgap6","ARHGAP6"
"971","Arhgap8","ARHGAP8"
"972","Arhgap9","ARHGAP9"
"973","Arhgdia","ARHGDIA"
"974","Arhgdib","ARHGDIB"
"975","Arhgdig","ARHGDIG"
"976","Arhgef1","ARHGEF1"
"977","Arhgef10","ARHGEF10"
"978","Arhgef10l","ARHGEF10L"
"979","Arhgef11","ARHGEF11"
"980","Arhgef12","ARHGEF12"
"981","Arhgef15","ARHGEF15"
"982","Arhgef16","ARHGEF16"
"983","Arhgef17","ARHGEF17"
"984","Arhgef18","ARHGEF18"
"985","Arhgef19","ARHGEF19"
"986","Arhgef2","ARHGEF2"
"987","Arhgef25","ARHGEF25"
"988","Arhgef26","ARHGEF26"
"989","Arhgef28","ARHGEF28"
"990","Arhgef3","ARHGEF3"
"991","Arhgef33","ARHGEF33"
"992","Arhgef37","ARHGEF37"
"993","Arhgef38","ARHGEF38"
"994","Arhgef39","ARHGEF39"
"995","Arhgef4","ARHGEF4"
"996","Arhgef40","ARHGEF40"
"997","Arhgef5","ARHGEF5"
"998","Arhgef6","ARHGEF6"
"999","Arhgef7","ARHGEF7"
"1000","Arhgef9","ARHGEF9"
"1001","Arid1a","ARID1A"
"1002","Arid1b","ARID1B"
"1003","Arid2","ARID2"
"1004","Arid3a","ARID3A"
"1005","Arid3b","ARID3B"
"1006","Arid3c","ARID3C"
"1007","Arid4a","ARID4A"
"1008","Arid4b","ARID4B"
"1009","Arid5a","ARID5A"
"1010","Arid5b","ARID5B"
"1011","Arih1","ARIH1"
"1012","Arih2","ARIH2"
"1013","Arih2os","ARIH2OS"
"1014","Arl1","ARL1"
"1015","Arl10","ARL10"
"1016","Arl11","ARL11"
"1017","Arl13a","ARL13A"
"1018","Arl13b","ARL13B"
"1019","Arl14","ARL14"
"1020","Arl14ep","ARL14EP"
"1021","Arl14epl","ARL14EPL"
"1022","Arl15","ARL15"
"1023","Arl16","ARL16"
"1024","Arl2","ARL2"
"1025","Arl2bp","ARL2BP"
"1026","Arl3","ARL3"
"1027","Arl4a","ARL4A"
"1028","Arl4c","ARL4C"
"1029","Arl4d","ARL4D"
"1030","Arl5a","ARL5A"
"1031","Arl5b","ARL5B"
"1032","Arl5c","ARL5C"
"1033","Arl6","ARL6"
"1034","Arl6ip1","ARL6IP1"
"1035","Arl6ip4","ARL6IP4"
"1036","Arl6ip5","ARL6IP5"
"1037","Arl6ip6","ARL6IP6"
"1038","Arl8a","ARL8A"
"1039","Arl8b","ARL8B"
"1040","Arl9","ARL9"
"1041","Armc1","ARMC1"
"1042","Armc10","ARMC10"
"1043","Armc12","ARMC12"
"1044","Armc2","ARMC2"
"1045","Armc3","ARMC3"
"1046","Armc4","ARMC4"
"1047","Armc5","ARMC5"
"1048","Armc6","ARMC6"
"1049","Armc7","ARMC7"
"1050","Armc8","ARMC8"
"1051","Armc9","ARMC9"
"1052","Armcx1","ARMCX1"
"1053","Armcx2","ARMCX2"
"1054","Armcx3","ARMCX3"
"1055","Armcx4","ARMCX4"
"1056","Armcx5","ARMCX5"
"1057","Armcx6","ARMCX6"
"1058","Gm16397","ARMCX7P"
"1059","Armh1","ARMH1"
"1060","Armh2","ARMH2"
"1061","Armh3","ARMH3"
"1062","Armh4","ARMH4"
"1063","Armt1","ARMT1"
"1064","Arnt","ARNT"
"1065","Arnt2","ARNT2"
"1066","Arntl","ARNTL"
"1067","Arntl2","ARNTL2"
"1068","Arpc1a","ARPC1A"
"1069","Arpc1b","ARPC1B"
"1070","Arpc2","ARPC2"
"1071","Arpc3","ARPC3"
"1072","Arpc4","ARPC4"
"1073","Arpc5","ARPC5"
"1074","Arpc5l","ARPC5L"
"1075","Arpin","ARPIN"
"1076","Arpp19","ARPP19"
"1077","Arpp21","ARPP21"
"1078","Arr3","ARR3"
"1079","Arrb1","ARRB1"
"1080","Arrb2","ARRB2"
"1081","Arrdc1","ARRDC1"
"1082","Arrdc2","ARRDC2"
"1083","Arrdc3","ARRDC3"
"1084","Arrdc4","ARRDC4"
"1085","Arrdc5","ARRDC5"
"1086","Arsa","ARSA"
"1087","Arsb","ARSB"
"1088","Arsg","ARSG"
"1089","Arsi","ARSI"
"1090","Arsj","ARSJ"
"1091","Arsk","ARSK"
"1092","Art1","ART1"
"1093","Art2b","ART2BP"
"1094","Art3","ART3"
"1095","Art4","ART4"
"1096","Art5","ART5"
"1097","Artn","ARTN"
"1098","Arv1","ARV1"
"1099","Arvcf","ARVCF"
"1100","Arx","ARX"
"1101","As3mt","AS3MT"
"1102","Asah1","ASAH1"
"1103","Asah2","ASAH2"
"1104","Asap1","ASAP1"
"1105","Asap2","ASAP2"
"1106","Asap3","ASAP3"
"1107","Asb1","ASB1"
"1108","Asb10","ASB10"
"1109","Asb11","ASB11"
"1110","Asb12","ASB12"
"1111","Asb13","ASB13"
"1112","Asb14","ASB14"
"1113","Asb15","ASB15"
"1114","Asb16","ASB16"
"1115","Asb17","ASB17"
"1116","Asb18","ASB18"
"1117","Asb2","ASB2"
"1118","Asb3","ASB3"
"1119","Asb4","ASB4"
"1120","Asb5","ASB5"
"1121","Asb6","ASB6"
"1122","Asb7","ASB7"
"1123","Asb8","ASB8"
"1124","Asb9","ASB9"
"1125","Ascc1","ASCC1"
"1126","Ascc2","ASCC2"
"1127","Ascc3","ASCC3"
"1128","Ascl1","ASCL1"
"1129","Ascl2","ASCL2"
"1130","Ascl3","ASCL3"
"1131","Ascl4","ASCL4"
"1132","Ascl5","ASCL5"
"1133","Asf1a","ASF1A"
"1134","Asf1b","ASF1B"
"1135","Asgr1","ASGR1"
"1136","Asgr2","ASGR2"
"1137","Ash1l","ASH1L"
"1138","Ash2l","ASH2L"
"1139","Asic1","ASIC1"
"1140","Asic2","ASIC2"
"1141","Asic3","ASIC3"
"1142","Asic4","ASIC4"
"1143","Asic5","ASIC5"
"1144","a","ASIP"
"1145","Asl","ASL"
"1146","Asmt","ASMT"
"1147","Asna1","ASNA1"
"1148","Asns","ASNS"
"1149","Asnsd1","ASNSD1"
"1150","Aspa","ASPA"
"1151","Aspdh","ASPDH"
"1152","Aspg","ASPG"
"1153","Asph","ASPH"
"1154","Asphd1","ASPHD1"
"1155","Asphd2","ASPHD2"
"1156","Aspm","ASPM"
"1157","Aspn","ASPN"
"1158","Asprv1","ASPRV1"
"1159","Aspscr1","ASPSCR1"
"1160","Asrgl1","ASRGL1"
"1161","Ass1","ASS1"
"1162","Aste1","ASTE1"
"1163","Astl","ASTL"
"1164","Astn1","ASTN1"
"1165","Astn2","ASTN2"
"1166","Asxl1","ASXL1"
"1167","Asxl2","ASXL2"
"1168","Asxl3","ASXL3"
"1169","Asz1","ASZ1"
"1170","Atad1","ATAD1"
"1171","Atad2","ATAD2"
"1172","Atad2b","ATAD2B"
"1173","Atad3a","ATAD3A"
"1174","Atad3a","ATAD3B"
"1175","Atad3a","ATAD3C"
"1176","Atad5","ATAD5"
"1177","Atat1","ATAT1"
"1178","Atcay","ATCAY"
"1179","Ate1","ATE1"
"1180","Atf1","ATF1"
"1181","Atf2","ATF2"
"1182","Atf3","ATF3"
"1183","Atf4","ATF4"
"1184","Atf5","ATF5"
"1185","Atf6","ATF6"
"1186","Atf6b","ATF6B"
"1187","Atf7","ATF7"
"1188","Atf7ip","ATF7IP"
"1189","Atf7ip2","ATF7IP2"
"1190","Atg10","ATG10"
"1191","Atg101","ATG101"
"1192","Atg12","ATG12"
"1193","Atg13","ATG13"
"1194","Atg14","ATG14"
"1195","Atg16l1","ATG16L1"
"1196","Atg16l2","ATG16L2"
"1197","Atg2a","ATG2A"
"1198","Atg2b","ATG2B"
"1199","Atg3","ATG3"
"1200","Atg4a","ATG4A"
"1201","Atg4b","ATG4B"
"1202","Atg4c","ATG4C"
"1203","Atg4d","ATG4D"
"1204","Atg5","ATG5"
"1205","Atg7","ATG7"
"1206","Atg9a","ATG9A"
"1207","Atg9b","ATG9B"
"1208","Atic","ATIC"
"1209","Atl1","ATL1"
"1210","Atl2","ATL2"
"1211","Atl3","ATL3"
"1212","Atm","ATM"
"1213","Atmin","ATMIN"
"1214","Atn1","ATN1"
"1215","Atoh1","ATOH1"
"1216","Atoh7","ATOH7"
"1217","Atoh8","ATOH8"
"1218","Atox1","ATOX1"
"1219","Atp10a","ATP10A"
"1220","Atp10b","ATP10B"
"1221","Atp10d","ATP10D"
"1222","Atp11a","ATP11A"
"1223","Atp11b","ATP11B"
"1224","Atp11c","ATP11C"
"1225","Atp12a","ATP12A"
"1226","Atp13a1","ATP13A1"
"1227","Atp13a2","ATP13A2"
"1228","Atp13a3","ATP13A3"
"1229","Atp13a4","ATP13A4"
"1230","Atp13a5","ATP13A5"
"1231","Atp1a1","ATP1A1"
"1232","Atp1a2","ATP1A2"
"1233","Atp1a3","ATP1A3"
"1234","Atp1a4","ATP1A4"
"1235","Atp1b1","ATP1B1"
"1236","Atp1b2","ATP1B2"
"1237","Atp1b3","ATP1B3"
"1238","Atp1b4","ATP1B4"
"1239","Atp23","ATP23"
"1240","Atp2a1","ATP2A1"
"1241","Atp2a2","ATP2A2"
"1242","Atp2a3","ATP2A3"
"1243","Atp2b1","ATP2B1"
"1244","Atp2b2","ATP2B2"
"1245","Atp2b3","ATP2B3"
"1246","Atp2b4","ATP2B4"
"1247","Atp2c1","ATP2C1"
"1248","Atp2c2","ATP2C2"
"1249","Atp4a","ATP4A"
"1250","Atp4b","ATP4B"
"1251","Atp5a1","ATP5F1A"
"1252","Atp5b","ATP5F1B"
"1253","Atp5c1","ATP5F1C"
"1254","Atp5d","ATP5F1D"
"1255","Atp5e","ATP5F1E"
"1256","Atpif1","ATP5IF1"
"1257","Atp5g1","ATP5MC1"
"1258","Atp5g2","ATP5MC2"
"1259","Atp5g3","ATP5MC3"
"1260","Usmg5","ATP5MD"
"1261","Atp5k","ATP5ME"
"1262","Atp5j2","ATP5MF"
"1263","Ptcd1","ATP5MF-PTCD1"
"1264","Atp5l","ATP5MG"
"1265","Atp5mpl","ATP5MPL"
"1266","Atp5f1","ATP5PB"
"1267","Atp5h","ATP5PD"
"1268","Atp5j","ATP5PF"
"1269","Atp5o","ATP5PO"
"1270","Atp5s","ATP5S"
"1271","mt-Atp6","ATP6"
"1272","Atp6ap1","ATP6AP1"
"1273","Atp6ap1l","ATP6AP1L"
"1274","Atp6ap2","ATP6AP2"
"1275","Atp6v0a1","ATP6V0A1"
"1276","Atp6v0a2","ATP6V0A2"
"1277","Atp6v0a4","ATP6V0A4"
"1278","Atp6v0b","ATP6V0B"
"1279","Atp6v0c","ATP6V0C"
"1280","Atp6v0d1","ATP6V0D1"
"1281","Atp6v0d2","ATP6V0D2"
"1282","Atp6v0e","ATP6V0E1"
"1283","Atp6v0e2","ATP6V0E2"
"1284","Atp6v1a","ATP6V1A"
"1285","Atp6v1b1","ATP6V1B1"
"1286","Atp6v1b2","ATP6V1B2"
"1287","Atp6v1c1","ATP6V1C1"
"1288","Atp6v1c2","ATP6V1C2"
"1289","Atp6v1d","ATP6V1D"
"1290","Atp6v1e1","ATP6V1E1"
"1291","Atp6v1e2","ATP6V1E2"
"1292","Atp6v1f","ATP6V1F"
"1293","Atp6v1fnb","ATP6V1FNB"
"1294","Atp6v1g1","ATP6V1G1"
"1295","Atp6v1g2","ATP6V1G2"
"1296","Atp6v1g3","ATP6V1G3"
"1297","Atp6v1h","ATP6V1H"
"1298","Atp7a","ATP7A"
"1299","Atp7b","ATP7B"
"1300","mt-Atp8","ATP8"
"1301","Atp8a1","ATP8A1"
"1302","Atp8a2","ATP8A2"
"1303","Atp8b1","ATP8B1"
"1304","Atp8b2","ATP8B2"
"1305","Atp8b3","ATP8B3"
"1306","Atp8b4","ATP8B4"
"1307","Atp8b5","ATP8B5P"
"1308","Atp9a","ATP9A"
"1309","Atp9b","ATP9B"
"1310","Atpaf1","ATPAF1"
"1311","Atpaf2","ATPAF2"
"1312","Atr","ATR"
"1313","Atraid","ATRAID"
"1314","Atrip","ATRIP"
"1315","Atrn","ATRN"
"1316","Atrnl1","ATRNL1"
"1317","Atrx","ATRX"
"1318","Atxn1","ATXN1"
"1319","Atxn10","ATXN10"
"1320","Atxn1l","ATXN1L"
"1321","Atxn2","ATXN2"
"1322","Atxn2l","ATXN2L"
"1323","Atxn3","ATXN3"
"1324","Atxn7","ATXN7"
"1325","Atxn7l1","ATXN7L1"
"1326","Atxn7l2","ATXN7L2"
"1327","Atxn7l3","ATXN7L3"
"1328","Atxn7l3b","ATXN7L3B"
"1329","Auh","AUH"
"1330","Aunip","AUNIP"
"1331","Aup1","AUP1"
"1332","Aurka","AURKA"
"1333","Aurkaip1","AURKAIP1"
"1334","Aurkb","AURKB"
"1335","Aurkc","AURKC"
"1336","Auts2","AUTS2"
"1337","Aven","AVEN"
"1338","Avil","AVIL"
"1339","Avl9","AVL9"
"1340","Avp","AVP"
"1341","Avpi1","AVPI1"
"1342","Avpr1a","AVPR1A"
"1343","Avpr1b","AVPR1B"
"1344","Avpr2","AVPR2"
"1345","Awat1","AWAT1"
"1346","Awat2","AWAT2"
"1347","Axdnd1","AXDND1"
"1348","Axin1","AXIN1"
"1349","Axin2","AXIN2"
"1350","Axl","AXL"
"1351","Azgp1","AZGP1"
"1352","Azi2","AZI2"
"1353","Azin1","AZIN1"
"1354","Azin2","AZIN2"
"1355","B2m","B2M"
"1356","B3galnt1","B3GALNT1"
"1357","B3galnt2","B3GALNT2"
"1358","B3galt1","B3GALT1"
"1359","B3galt2","B3GALT2"
"1360","B3galt4","B3GALT4"
"1361","B3galt5","B3GALT5"
"1362","B3galt6","B3GALT6"
"1363","B3gat1","B3GAT1"
"1364","B3gat2","B3GAT2"
"1365","B3gat3","B3GAT3"
"1366","B3glct","B3GLCT"
"1367","B3gnt2","B3GNT2"
"1368","B3gnt3","B3GNT3"
"1369","B3gnt4","B3GNT4"
"1370","B3gnt5","B3GNT5"
"1371","B3gnt6","B3GNT6"
"1372","B3gnt7","B3GNT7"
"1373","B3gnt8","B3GNT8"
"1374","B3gnt9","B3GNT9"
"1375","B3gntl1","B3GNTL1"
"1376","B4galnt1","B4GALNT1"
"1377","B4galnt2","B4GALNT2"
"1378","B4galnt3","B4GALNT3"
"1379","B4galnt4","B4GALNT4"
"1380","B4galt1","B4GALT1"
"1381","B4galt2","B4GALT2"
"1382","B4galt3","B4GALT3"
"1383","B4galt4","B4GALT4"
"1384","B4galt5","B4GALT5"
"1385","B4galt6","B4GALT6"
"1386","B4galt7","B4GALT7"
"1387","B4gat1","B4GAT1"
"1388","B9d1","B9D1"
"1389","B9d2","B9D2"
"1390","Baalc","BAALC"
"1391","Baat","BAAT"
"1392","Babam1","BABAM1"
"1393","Babam2","BABAM2"
"1394","Bace1","BACE1"
"1395","Bace2","BACE2"
"1396","Bach1","BACH1"
"1397","Bach2","BACH2"
"1398","Bad","BAD"
"1399","Bag1","BAG1"
"1400","Bag2","BAG2"
"1401","Bag3","BAG3"
"1402","Bag4","BAG4"
"1403","Bag5","BAG5"
"1404","Bag6","BAG6"
"1405","Bahcc1","BAHCC1"
"1406","Bahd1","BAHD1"
"1407","Baiap2","BAIAP2"
"1408","Baiap2l1","BAIAP2L1"
"1409","Baiap2l2","BAIAP2L2"
"1410","Baiap3","BAIAP3"
"1411","Bak1","BAK1"
"1412","Bambi","BAMBI"
"1413","Banf1","BANF1"
"1414","Banf2","BANF2"
"1415","Bank1","BANK1"
"1416","Banp","BANP"
"1417","Bap1","BAP1"
"1418","Bard1","BARD1"
"1419","Barhl1","BARHL1"
"1420","Barhl2","BARHL2"
"1421","Barx1","BARX1"
"1422","Barx2","BARX2"
"1423","Basp1","BASP1"
"1424","Batf","BATF"
"1425","Batf2","BATF2"
"1426","Batf3","BATF3"
"1427","Bax","BAX"
"1428","Baz1a","BAZ1A"
"1429","Baz1b","BAZ1B"
"1430","Baz2a","BAZ2A"
"1431","Baz2b","BAZ2B"
"1432","Bbc3","BBC3"
"1433","Bbip1","BBIP1"
"1434","Bbof1","BBOF1"
"1435","Bbox1","BBOX1"
"1436","Bbs1","BBS1"
"1437","Bbs10","BBS10"
"1438","Bbs12","BBS12"
"1439","Bbs2","BBS2"
"1440","Bbs4","BBS4"
"1441","Bbs5","BBS5"
"1442","Bbs7","BBS7"
"1443","Bbs9","BBS9"
"1444","Bbx","BBX"
"1445","Bcam","BCAM"
"1446","Bcan","BCAN"
"1447","Bcap29","BCAP29"
"1448","Bcap31","BCAP31"
"1449","Bcar1","BCAR1"
"1450","Bcar3","BCAR3"
"1451","Bcas1","BCAS1"
"1452","Bcas2","BCAS2"
"1453","Bcas3","BCAS3"
"1454","Bcat1","BCAT1"
"1455","Bcat2","BCAT2"
"1456","Bccip","BCCIP"
"1457","Bcdin3d","BCDIN3D"
"1458","Bche","BCHE"
"1459","Bckdha","BCKDHA"
"1460","Bckdhb","BCKDHB"
"1461","Bckdk","BCKDK"
"1462","Bcl10","BCL10"
"1463","Bcl11a","BCL11A"
"1464","Bcl11b","BCL11B"
"1465","Bcl2","BCL2"
"1466","Bcl2a1a","BCL2A1"
"1467","Bcl2a1b","BCL2A1"
"1468","Bcl2a1d","BCL2A1"
"1469","Bcl2l1","BCL2L1"
"1470","Bcl2l10","BCL2L10"
"1471","Bcl2l11","BCL2L11"
"1472","Bcl2l12","BCL2L12"
"1473","Bcl2l13","BCL2L13"
"1474","Bcl2l14","BCL2L14"
"1475","Bcl2l15","BCL2L15"
"1476","Bcl2l2","BCL2L2"
"1477","Bcl3","BCL3"
"1478","Bcl6","BCL6"
"1479","Bcl6b","BCL6B"
"1480","Bcl7a","BCL7A"
"1481","Bcl7b","BCL7B"
"1482","Bcl7c","BCL7C"
"1483","Bcl9","BCL9"
"1484","Bcl9l","BCL9L"
"1485","Bclaf1","BCLAF1"
"1486","Bclaf3","BCLAF3"
"1487","Bco1","BCO1"
"1488","Bco2","BCO2"
"1489","Bcor","BCOR"
"1490","Bcorl1","BCORL1"
"1491","Bcr","BCR"
"1492","Bcs1l","BCS1L"
"1493","Bdh1","BDH1"
"1494","Bdh2","BDH2"
"1495","Bdkrb1","BDKRB1"
"1496","Bdkrb2","BDKRB2"
"1497","Bdnf","BDNF"
"1498","Bdp1","BDP1"
"1499","Bean1","BEAN1"
"1500","Becn1","BECN1"
"1501","Becn2","BECN2"
"1502","Begain","BEGAIN"
"1503","Bend3","BEND3"
"1504","Bend4","BEND4"
"1505","Bend5","BEND5"
"1506","Bend6","BEND6"
"1507","Bend7","BEND7"
"1508","Best1","BEST1"
"1509","Best2","BEST2"
"1510","Best3","BEST3"
"1511","Bet1","BET1"
"1512","Bet1l","BET1L"
"1513","Bex2","BEX1"
"1514","Bex1","BEX2"
"1515","Bex3","BEX3"
"1516","Bex4","BEX4"
"1517","Bfar","BFAR"
"1518","Bfsp1","BFSP1"
"1519","Bfsp2","BFSP2"
"1520","Bglap","BGLAP"
"1521","Bglap2","BGLAP"
"1522","Bglap3","BGLAP"
"1523","Bgn","BGN"
"1524","Bhlha15","BHLHA15"
"1525","Bhlha9","BHLHA9"
"1526","Bhlhb9","BHLHB9"
"1527","Bhlhe22","BHLHE22"
"1528","Bhlhe23","BHLHE23"
"1529","Bhlhe40","BHLHE40"
"1530","Bhlhe41","BHLHE41"
"1531","Gm4969","BHMG1"
"1532","Bhmt","BHMT"
"1533","Bhmt2","BHMT2"
"1534","Bicc1","BICC1"
"1535","Bicd1","BICD1"
"1536","Bicd2","BICD2"
"1537","Bicdl1","BICDL1"
"1538","Bicdl2","BICDL2"
"1539","Bicra","BICRA"
"1540","Bicral","BICRAL"
"1541","Bid","BID"
"1542","Bik","BIK"
"1543","Bin1","BIN1"
"1544","Bin2","BIN2"
"1545","Bin3","BIN3"
"1546","Birc2","BIRC2"
"1547","Birc3","BIRC3"
"1548","Birc5","BIRC5"
"1549","Birc6","BIRC6"
"1550","Birc7","BIRC7"
"1551","Bivm","BIVM"
"1552","Blcap","BLCAP"
"1553","Blk","BLK"
"1554","Blm","BLM"
"1555","Blmh","BLMH"
"1556","Blnk","BLNK"
"1557","Bloc1s1","BLOC1S1"
"1558","Bloc1s2","BLOC1S2"
"1559","Bloc1s3","BLOC1S3"
"1560","Bloc1s4","BLOC1S4"
"1561","Bloc1s5","BLOC1S5"
"1562","Bloc1s6","BLOC1S6"
"1563","Blvra","BLVRA"
"1564","Blvrb","BLVRB"
"1565","Blzf1","BLZF1"
"1566","Bmf","BMF"
"1567","Bmi1","BMI1"
"1568","Bmp1","BMP1"
"1569","Bmp10","BMP10"
"1570","Bmp15","BMP15"
"1571","Bmp2","BMP2"
"1572","Bmp2k","BMP2K"
"1573","Bmp3","BMP3"
"1574","Bmp4","BMP4"
"1575","Bmp5","BMP5"
"1576","Bmp6","BMP6"
"1577","Bmp7","BMP7"
"1578","Bmp8a","BMP8A"
"1579","Bmp8b","BMP8B"
"1580","Bmper","BMPER"
"1581","Bmpr1a","BMPR1A"
"1582","Bmpr1b","BMPR1B"
"1583","Bmpr2","BMPR2"
"1584","Bms1","BMS1"
"1585","Bmt2","BMT2"
"1586","Bmx","BMX"
"1587","Bnc1","BNC1"
"1588","Bnc2","BNC2"
"1589","Bnip1","BNIP1"
"1590","Bnip2","BNIP2"
"1591","Bnip3","BNIP3"
"1592","Bnip3l","BNIP3L"
"1593","Bnipl","BNIPL"
"1594","Boc","BOC"
"1595","Bod1","BOD1"
"1596","Bod1l","BOD1L1"
"1597","Bok","BOK"
"1598","Bola1","BOLA1"
"1599","Bola2","BOLA2"
"1600","Bola3","BOLA3"
"1601","Boll","BOLL"
"1602","Bop1","BOP1"
"1603","Bora","BORA"
"1604","Borcs5","BORCS5"
"1605","Borcs6","BORCS6"
"1606","Borcs7","BORCS7"
"1607","Borcs8","BORCS8"
"1608","Bpgm","BPGM"
"1609","Bphl","BPHL"
"1610","Bpi","BPI"
"1611","Bpifa1","BPIFA1"
"1612","Bpifa2","BPIFA2"
"1613","Bpifa3","BPIFA3"
"1614","Bpifb1","BPIFB1"
"1615","Bpifb2","BPIFB2"
"1616","Bpifb3","BPIFB3"
"1617","Bpifb4","BPIFB4"
"1618","Bpifb5","BPIFB5P"
"1619","Bpifb6","BPIFB6"
"1620","Bpifb9a","BPIFB9P"
"1621","Bpifc","BPIFC"
"1622","Bpnt1","BPNT1"
"1623","Bptf","BPTF"
"1624","Braf","BRAF"
"1625","Brap","BRAP"
"1626","Brat1","BRAT1"
"1627","Brca1","BRCA1"
"1628","Brca2","BRCA2"
"1629","Brcc3","BRCC3"
"1630","Brd1","BRD1"
"1631","Brd2","BRD2"
"1632","Brd3","BRD3"
"1633","Brd3os","BRD3OS"
"1634","Brd4","BRD4"
"1635","Brd7","BRD7"
"1636","Brd8","BRD8"
"1637","Brd9","BRD9"
"1638","Brdt","BRDT"
"1639","Brf1","BRF1"
"1640","Brf2","BRF2"
"1641","Bri3","BRI3"
"1642","Bri3bp","BRI3BP"
"1643","Bricd5","BRICD5"
"1644","Brinp1","BRINP1"
"1645","Brinp2","BRINP2"
"1646","Brinp3","BRINP3"
"1647","Brip1","BRIP1"
"1648","Brix1","BRIX1"
"1649","Brk1","BRK1"
"1650","Brms1","BRMS1"
"1651","Brms1l","BRMS1L"
"1652","Brox","BROX"
"1653","Brpf1","BRPF1"
"1654","Brpf3","BRPF3"
"1655","Brs3","BRS3"
"1656","Brsk1","BRSK1"
"1657","Brsk2","BRSK2"
"1658","Brwd1","BRWD1"
"1659","Brwd3","BRWD3"
"1660","Bscl2","BSCL2"
"1661","Bsdc1","BSDC1"
"1662","Bsg","BSG"
"1663","Bsn","BSN"
"1664","Bsnd","BSND"
"1665","Bsph1","BSPH1"
"1666","Bspry","BSPRY"
"1667","Bst1","BST1"
"1668","Bst2","BST2"
"1669","Bsx","BSX"
"1670","Btaf1","BTAF1"
"1671","Btbd1","BTBD1"
"1672","Btbd10","BTBD10"
"1673","Btbd11","BTBD11"
"1674","Btbd16","BTBD16"
"1675","Btbd17","BTBD17"
"1676","Btbd18","BTBD18"
"1677","Btbd19","BTBD19"
"1678","Btbd2","BTBD2"
"1679","Btbd3","BTBD3"
"1680","Btbd6","BTBD6"
"1681","Btbd7","BTBD7"
"1682","Btbd8","BTBD8"
"1683","Btbd9","BTBD9"
"1684","Btc","BTC"
"1685","Btd","BTD"
"1686","Btf3","BTF3"
"1687","Btf3l4","BTF3L4"
"1688","Btg1","BTG1"
"1689","Btg2","BTG2"
"1690","Btg3","BTG3"
"1691","Btg4","BTG4"
"1692","Btk","BTK"
"1693","Btla","BTLA"
"1694","Btn1a1","BTN1A1"
"1695","Btn2a2","BTN2A2"
"1696","Btnl10","BTNL10"
"1697","Btnl2","BTNL2"
"1698","Btnl9","BTNL9"
"1699","Btrc","BTRC"
